Person Name	PERSON	Proper names of people, including droids, first names, last names, individual or family names, unique nicknames.	Spock, Data, Pavel Chekov
Species	SPECIES	Names of sentient species/races	Reman, whale
Location	LOC	Name of any place, such as a planet, city or geographical feature.	Veridian III, San Francisco
Organization	ORG	Names of companies, government agencies, educational institutions, military units	Starfleet
Geopolitical Entity	GPE	Names of governing bodies	Borgs, Federation, Romulan Empire
Nationality, Other, Religion, Political	NORP	Derived/adjectival forms of GPE and Location names, as well as adjectival forms of named religions, heritage and political affiliation.	Klingon, Federation, Romulan
Weapon	WEAPON	Any named armament, regardless of size - excludes generic terms like ‘weapon,’ ‘cannon,’ etc	phaser, photon torpedo
Technology	TECH	Technobabble used to describe futuristic technology or the use thereof	PADD, beams, sonic shower
Spacecraft name	SPACECRAFT	Proper name of a specific instance of a vehicle capable of space travel	Enterprise, Reliant, V'ger
Rank/Title	RANK	Official signifiers of ranks, titles, positions, most typically military ranks or other signifiers of status within an organization. Excludes informal/familial titles.	Captain, Ambassador, Ahdar, Doctor
Miscellaneous	MISC	Other named entities, such as works of art or pet names	Hamlet, God, Spot
