file,F1,Precision,Recall
red_rising_dev_0_self_most_dense.csv,85.59,82.97,88.37
red_rising_dev_0_self_most_unique.csv,85.84,83.04,88.84
red_rising_dev_0_star_wars_most_dense.csv,86.88,84.58,89.3
red_rising_dev_0_star_wars_most_unique.csv,85.84,84.3,87.44
red_rising_dev_1_self_most_dense.csv,84.16,81.94,86.51
red_rising_dev_1_self_most_unique.csv,83.75,82.43,85.12
red_rising_dev_1_star_wars_most_dense.csv,85.19,83.48,86.98
red_rising_dev_1_star_wars_most_unique.csv,83.64,81.78,85.58
red_rising_dev_3_self_most_dense.csv,88.17,87.96,88.37
red_rising_dev_3_self_most_unique.csv,83.68,82.73,84.65
red_rising_dev_3_star_wars_most_dense.csv,83.14,82.57,83.72
red_rising_dev_3_star_wars_most_unique.csv,83.87,83.11,84.65
red_rising_dev_5_self_most_dense.csv,87.36,86.36,88.37
red_rising_dev_5_self_most_unique.csv,85.71,84.93,86.51
red_rising_dev_5_star_wars_most_dense.csv,82.71,83.1,82.33
red_rising_dev_5_star_wars_most_unique.csv,84.86,83.71,86.05
star_trek_dev_0_self_most_dense.csv,55.69,57.08,54.37
star_trek_dev_0_self_most_unique.csv,55.09,55.42,54.76
star_trek_dev_0_star_wars_most_dense.csv,55.71,56.28,55.16
star_trek_dev_0_star_wars_most_unique.csv,55.02,55.69,54.37
star_trek_dev_1_self_most_dense.csv,57.14,60.71,53.97
star_trek_dev_1_self_most_unique.csv,56.49,59.73,53.57
star_trek_dev_1_star_wars_most_dense.csv,55.85,57.87,53.97
star_trek_dev_1_star_wars_most_unique.csv,54.47,54.58,54.37
star_trek_dev_3_self_most_dense.csv,56.79,58.97,54.76
star_trek_dev_3_self_most_unique.csv,58.26,60.78,55.95
star_trek_dev_3_star_wars_most_dense.csv,57.92,60.96,55.16
star_trek_dev_3_star_wars_most_unique.csv,56.78,59.91,53.97
star_trek_dev_5_self_most_dense.csv,57.68,60.43,55.16
star_trek_dev_5_self_most_unique.csv,58.7,62.22,55.56
star_trek_dev_5_star_wars_most_dense.csv,56.9,61.19,53.17
star_trek_dev_5_star_wars_most_unique.csv,57.62,60.79,54.76
star_wars_dev_0_self_most_dense.csv,72.94,72.46,73.42
star_wars_dev_0_self_most_unique.csv,74.21,74.33,74.09
star_wars_dev_0_star_wars_most_dense.csv,71.57,70.42,72.76
star_wars_dev_0_star_wars_most_unique.csv,72.49,71.9,73.09
star_wars_dev_1_self_most_dense.csv,72.82,70.98,74.75
star_wars_dev_1_self_most_unique.csv,74.34,73.62,75.08
star_wars_dev_1_star_wars_most_dense.csv,73.51,72.55,74.5
star_wars_dev_1_star_wars_most_unique.csv,75.55,76.71,74.42
star_wars_dev_3_self_most_dense.csv,76.52,75.65,77.41
star_wars_dev_3_self_most_unique.csv,76.44,75.82,77.08
star_wars_dev_3_star_wars_most_dense.csv,74.37,75.0,73.75
star_wars_dev_3_star_wars_most_unique.csv,75.59,76.09,75.08
star_wars_dev_5_self_most_dense.csv,75.97,76.87,75.08
star_wars_dev_5_self_most_unique.csv,75.79,75.42,76.17
star_wars_dev_5_star_wars_most_dense.csv,75.38,77.08,73.75
star_wars_dev_5_star_wars_most_unique.csv,75.8,77.24,74.42
